#metadataBlock	name	dataverseAlias	displayName	blockURI												
	archive		Archival Metadata													
#datasetField	name	title	description	watermark	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	archiveArchivedFor	Archive For	The period for which the record is to be archived. 		text	2	#VALUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE		archive	
	archiveArchivedAt	Archived At	If additional files are archived elsewhere, the location where the files are archived	URL	url	3	<a href='#VALUE'>#VALUE</a>	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		archive	https://schema.org/archivedAt
	archiveReason	Archive Reason	The reason, why this dataset is archived and not published		text	4	#VALUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		archive	
#controlledVocabulary	DatasetField	Value	identifier	displayOrder												
	archiveArchivedFor	1 year	1_year	0												
	archiveArchivedFor	3 years	3_years	1												
	archiveArchivedFor	5 years	5_years	2												
	archiveArchivedFor	10 years	10_years	3												
